"Mladoletniki, proti katerim je bil kazenski postopek pred senatom pravnomoèno konèan po: KAZNIVO DEJANJE, VRSTA ODLOÈBE, SPOL , LETO"

" ";" ";"Spol - SKUPAJ";" ";" ";" ";"Moški";" ";" ";" ";"Ženske";" ";" ";" "
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;-;-;1;-;-;-;1;-;-;-;-
"4.XVIII.158021 razžalitev - od. 2 v zvezi z od. 1"
" ";"Odloèba sodišèa - SKUPAJ";-;-;-;2;-;-;-;2;-;-;-;-
" ";"Postopek pred senatom ustavljen";-;-;-;1;-;-;-;1;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;-;-;1;-;-;-;1;-;-;-;-
"4.XIX KAZNIVA DEJANJA ZOPER SPOLNO NEDOTAKLJIVOST"
" ";"Odloèba sodišèa - SKUPAJ";-;16;17;33;-;15;14;30;-;1;3;3
" ";"Postopek pred senatom ustavljen";-;3;12;10;-;3;10;9;-;-;2;1
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;13;5;23;-;12;4;21;-;1;1;2
"4.XIX.170 posilstvo"
" ";"Odloèba sodišèa - SKUPAJ";-;1;1;2;-;1;1;2;-;-;-;-
" ";"Postopek pred senatom ustavljen";-;-;1;1;-;-;1;1;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;1;-;1;-;1;-;1;-;-;-;-
"4.XIX.170010 posilstvo - od. 1"
" ";"Odloèba sodišèa - SKUPAJ";-;-;1;2;-;-;1;2;-;-;-;-
" ";"Postopek pred senatom ustavljen";-;-;1;1;-;-;1;1;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;-;-;1;-;-;-;1;-;-;-;-
"4.XIX.170030 posilstvo - od. 3"
" ";"Odloèba sodišèa - SKUPAJ";-;1;-;-;-;1;-;-;-;-;-;-
" ";"Postopek pred senatom ustavljen";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;1;-;-;-;1;-;-;-;-;-;-
"4.XIX.171 spolno nasilje"
" ";"Odloèba sodišèa - SKUPAJ";-;1;-;1;-;1;-;1;-;-;-;-
" ";"Postopek pred senatom ustavljen";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;1;-;1;-;1;-;1;-;-;-;-
"4.XIX.171010 spolno nasilje - od. 1"
" ";"Odloèba sodišèa - SKUPAJ";-;1;-;1;-;1;-;1;-;-;-;-
" ";"Postopek pred senatom ustavljen";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;1;-;1;-;1;-;1;-;-;-;-
"4.XIX.172 spolna zloraba slabotne osebe"
" ";"Odloèba sodišèa - SKUPAJ";-;4;1;2;-;4;1;2;-;-;-;-
" ";"Postopek pred senatom ustavljen";-;1;1;1;-;1;1;1;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;3;-;1;-;3;-;1;-;-;-;-
"4.XIX.172010 spolna zloraba slabotne osebe - od. 1"
" ";"Odloèba sodišèa - SKUPAJ";-;4;-;2;-;4;-;2;-;-;-;-
" ";"Postopek pred senatom ustavljen";-;1;-;1;-;1;-;1;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;3;-;1;-;3;-;1;-;-;-;-
"4.XIX.172021 spolna zloraba slabotne osebe - od. 2 v zvezi z od. 1"
" ";"Odloèba sodišèa - SKUPAJ";-;-;1;-;-;-;1;-;-;-;-;-
" ";"Postopek pred senatom ustavljen";-;-;1;-;-;-;1;-;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;-;-;-;-;-;-;-;-;-;-;-
"4.XIX.173 spolni napad na osebo, mlajšo od petnajst let"
" ";"Odloèba sodišèa - SKUPAJ";-;4;5;6;-;4;5;6;-;-;-;-
" ";"Postopek pred senatom ustavljen";-;2;3;3;-;2;3;3;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;2;2;3;-;2;2;3;-;-;-;-
"4.XIX.173010 spolni napad na osebo, mlajšo od petnajst let - od. 1"
" ";"Odloèba sodišèa - SKUPAJ";-;2;5;6;-;2;5;6;-;-;-;-
" ";"Postopek pred senatom ustavljen";-;1;3;3;-;1;3;3;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;1;2;3;-;1;2;3;-;-;-;-
"4.XIX.173041 spolni napad na osebo, mlajšo od petnajst let - od. 4 v zvezi z od. 1"
" ";"Odloèba sodišèa - SKUPAJ";-;2;-;-;-;2;-;-;-;-;-;-
" ";"Postopek pred senatom ustavljen";-;1;-;-;-;1;-;-;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;1;-;-;-;1;-;-;-;-;-;-
"4.XIX.176 prikazovanje, izdelava, posest in posredovanje pornografskega gradiva"
" ";"Odloèba sodišèa - SKUPAJ";-;6;10;22;-;5;7;19;-;1;3;3
" ";"Postopek pred senatom ustavljen";-;-;7;5;-;-;5;4;-;-;2;1
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;6;3;17;-;5;2;15;-;1;1;2
"4.XIX.176010 prikazovanje, izdelava, posest in posredovanje pornografskega gradiva - od. 1"
" ";"Odloèba sodišèa - SKUPAJ";-;-;-;3;-;-;-;3;-;-;-;-
" ";"Postopek pred senatom ustavljen";-;-;-;2;-;-;-;2;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;-;-;1;-;-;-;1;-;-;-;-
"4.XIX.176020 prikazovanje, izdelava, posest in posredovanje pornografskega gradiva - od. 2"
" ";"Odloèba sodišèa - SKUPAJ";-;2;2;4;-;1;2;4;-;1;-;-
" ";"Postopek pred senatom ustavljen";-;-;2;-;-;-;2;-;-;-;-;-
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;2;-;4;-;1;-;4;-;1;-;-
"4.XIX.176030 prikazovanje, izdelava, posest in posredovanje pornografskega gradiva - od. 3"
" ";"Odloèba sodišèa - SKUPAJ";-;4;8;15;-;4;5;12;-;-;3;3
" ";"Postopek pred senatom ustavljen";-;-;5;3;-;-;3;2;-;-;2;1
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;4;3;12;-;4;2;10;-;-;1;2
"4.XX KAZNIVA DEJANJA ZOPER ÈLOVEKOVO ZDRAVJE"
" ";"Odloèba sodišèa - SKUPAJ";-;32;24;51;-;31;22;47;-;1;2;4
" ";"Postopek pred senatom ustavljen";-;14;13;17;-;14;12;16;-;-;1;1
" ";"Izreèen samostojni varnostni ukrep";-;-;-;-;-;-;-;-;-;-;-;-
" ";"Izreèen vzgojni ukrep ali spoznan za odgovornega";-;18;11;34;-;17;10;31;-;1;1;3
